Region,Crop,Season,Soil_Type,Yield
Jagtial,"Rice, Maize, Red Gram, Green Gram, Jowar, Sesame, Castor, Cotton, Groundnut, Soyabean, Black Gram","Kharif & Rabi","Black soils (Regur)","High"
Peddapalli,"Rice, Maize, Red Gram, Green Gram, Jowar, Sesame, Castor, Cotton, Groundnut, Soyabean, Black Gram","Kharif & Rabi","Red soils","Medium"
Kamareddy,"Rice, Maize, Red Gram, Green Gram, Jowar, Sesame, Castor, Cotton, Groundnut, Soyabean, Black Gram","Kharif & Rabi","Black soils (Regur)","High"
Rajanna Sircilla,"Rice, Maize, Red Gram, Green Gram, Jowar, Sesame, Castor, Cotton, Groundnut, Soyabean, Black Gram","Kharif & Rabi","Mixed red and black soils","Medium"
Karimnagar,"Rice, Maize, Red Gram, Green Gram, Jowar, Sesame, Castor, Cotton, Groundnut, Soyabean, Black Gram","Kharif & Rabi","Black soils (Regur)","High"
Jayashankar Bhupalpally,"Rice, Maize, Red Gram, Green Gram, Jowar, Sesame, Castor, Cotton, Groundnut, Soyabean, Black Gram","Kharif & Rabi","Laterite soils","Medium‑Low"
Sangareddy,"Rice, Maize, Red Gram, Green Gram, Jowar, Sesame, Castor, Cotton, Groundnut, Soyabean, Black Gram","Kharif & Rabi","Mixed red and black soils","Medium"
Medak,"Rice, Maize, Red Gram, Green Gram, Jowar, Sesame, Castor, Cotton, Groundnut, Soyabean, Black Gram","Kharif & Rabi","Red soils","Medium"
Siddipet,"Rice, Maize, Red Gram, Green Gram, Jowar, Sesame, Castor, Cotton, Groundnut, Soyabean, Black Gram","Kharif & Rabi","Black soils (Regur)","High"
Jangaon,"Rice, Maize, Red Gram, Green Gram, Jowar, Sesame, Castor, Cotton, Groundnut, Soyabean, Black Gram","Kharif & Rabi","Mixed red and black soils","Medium"
Hanumakonda,"Rice, Maize, Red Gram, Green Gram, Jowar, Sesame, Castor, Cotton, Groundnut, Soyabean, Black Gram","Kharif & Rabi","Red soils","Medium"
Warangal,"Rice, Maize, Red Gram, Green Gram, Jowar, Sesame, Castor, Cotton, Groundnut, Soyabean, Black Gram","Kharif & Rabi","Black soils (Regur)","High"
Mulugu,"Rice, Maize, Red Gram, Green Gram, Jowar, Sesame, Castor, Cotton, Groundnut, Soyabean, Black Gram","Kharif & Rabi","Laterite soils","Medium‑Low"
Bhadradri Kothagudem,"Rice, Maize, Red Gram, Green Gram, Jowar, Sesame, Castor, Cotton, Groundnut, Soyabean, Black Gram","Kharif & Rabi","Laterite soils","Medium‑Low"
Khammam,"Rice, Maize, Red Gram, Green Gram, Jowar, Sesame, Castor, Cotton, Groundnut, Soyabean, Black Gram","Kharif & Rabi","Alluvial soils","High"
Mahabubabad,"Rice, Maize, Red Gram, Green Gram, Jowar, Sesame, Castor, Cotton, Groundnut, Soyabean, Black Gram","Kharif & Rabi","Laterite soils","Medium‑Low"
Suryapet,"Rice, Maize, Red Gram, Green Gram, Jowar, Sesame, Castor, Cotton, Groundnut, Soyabean, Black Gram","Kharif & Rabi","Alluvial soils","High"
Nalgonda,"Rice, Maize, Red Gram, Green Gram, Jowar, Sesame, Castor, Cotton, Groundnut, Soyabean, Black Gram","Kharif & Rabi","Alluvial soils","High"
Yadadri Bhuvanagiri,"Rice, Maize, Red Gram, Green Gram, Jowar, Sesame, Castor, Cotton, Groundnut, Soyabean, Black Gram","Kharif & Rabi","Alluvial soils","High"
Medchal–Malkajgiri,"Rice, Maize, Red Gram, Green Gram, Jowar, Sesame, Castor, Cotton, Groundnut, Soyabean, Black Gram","Kharif & Rabi","Urban soils","N/A"
Hyderabad,"Rice, Maize, Red Gram, Green Gram, Jowar, Sesame, Castor, Cotton, Groundnut, Soyabean, Black Gram","Kharif & Rabi","Urban soils","N/A"
Ranga Reddy,"Rice, Maize, Red Gram, Green Gram, Jowar, Sesame, Castor, Cotton, Groundnut, Soyabean, Black Gram","Kharif & Rabi","Red soils","Medium"
Vikarabad,"Rice, Maize, Red Gram, Green Gram, Jowar, Sesame, Castor, Cotton, Groundnut, Soyabean, Black Gram","Kharif & Rabi","Red soils","Medium"
Narayanpet,"Rice, Maize, Red Gram, Green Gram, Jowar, Sesame, Castor, Cotton, Groundnut, Soyabean, Black Gram","Kharif & Rabi","Red soils","Medium"
Mahabubnagar,"Rice, Maize, Red Gram, Green Gram, Jowar, Sesame, Castor, Cotton, Groundnut, Soyabean, Black Gram","Kharif & Rabi","Red soils","Medium"
Nagarkurnool,"Rice, Maize, Red Gram, Green Gram, Jowar, Sesame, Castor, Cotton, Groundnut, Soyabean, Black Gram","Kharif & Rabi","Red soils","Medium"
Wanaparthy,"Rice, Maize, Red Gram, Green Gram, Jowar, Sesame, Castor, Cotton, Groundnut, Soyabean, Black Gram","Kharif & Rabi","Red soils","Medium"
Jogulamba Gadwal,"Rice, Maize, Red Gram, Green Gram, Jowar, Sesame, Castor, Cotton, Groundnut, Soyabean, Black Gram","Kharif & Rabi","Laterite soils","Medium‑Low"
Thiruvananthapuram,"Coconut, Rubber, Banana, Paddy","Kharif & Rabi","Lateritic soils","Medium"
Kollam,"Cashew, Coconut, Tapioca","Kharif & Rabi","Lateritic coastal soils","Medium"
Pathanamthitta,"Rubber, Paddy, Tapioca, Pepper","Kharif & Rabi","Lateritic soils","Medium"  
Alappuzha,"Paddy, Coconut","Kharif & Rabi","Coastal alluvial soils","High"
Kottayam,"Rubber, Spices, Cardamom, Paddy","Kharif & Rabi","Lateritic soils","Medium"
Idukki,"Tea, Cardamom, Coffee, Pepper","Kharif & Rabi","Forest and lateritic soils","Low"
Ernakulam,"Coconut, Rice, Pineapple","Kharif & Rabi","Lateritic soils","Medium"
Thrissur,"Rice, Coconut, Banana","Kharif & Rabi","Lateritic soils","Medium"
Palakkad,"Paddy, Coconut, Banana, Tapioca","Kharif & Rabi","Mixed alluvium","High"
Malappuram,"Coconut, Paddy, Banana","Kharif & Rabi","Lateritic soils","Medium"
Kozhikode,"Coconut, Areca nut, Banana","Kharif & Rabi","Lateritic soils","Medium"
Wayanad,"Coffee, Pepper, Tea, Cardamom","Kharif & Rabi","Forest soils","Low"
Kannur,"Cashew, Coconut, Pepper","Kharif & Rabi","Lateritic soils","Medium"
Kasaragod,"Coconut, Paddy, Areca nut","Kharif & Rabi","Coastal alluvial soils","High"
Bokaro,"Rice, Wheat, Maize, Pulses, Oilseeds","Kharif & Rabi","Red lateritic soils","Medium"
Chatra,"Rice, Wheat, Maize, Pulses, Oilseeds","Kharif & Rabi","Red lateritic soils","Medium"
Deoghar,"Rice, Wheat, Maize, Pulses, Oilseeds","Kharif & Rabi","Red lateritic soils","Medium"
Dhanbad,"Rice, Wheat, Maize, Pulses, Oilseeds","Kharif & Rabi","Red lateritic soils","Medium"
Dumka,"Rice, Wheat, Maize, Pulses, Oilseeds","Kharif & Rabi","Red lateritic soils","Medium"
East Singhbhum,"Rice, Wheat, Maize, Pulses, Oilseeds","Kharif & Rabi","Alluvial soils","High"
Garhwa,"Rice, Wheat, Maize, Pulses, Oilseeds","Kharif & Rabi","Red lateritic soils","Medium"
Giridih,"Rice, Wheat, Maize, Pulses, Oilseeds","Kharif & Rabi","Red lateritic soils","Medium"
Godda,"Rice, Wheat, Maize, Pulses, Oilseeds","Kharif & Rabi","Alluvial soils","High"
Gumla,"Rice, Wheat, Maize, Pulses, Oilseeds","Kharif & Rabi","Red lateritic soils","Medium"
Hazaribagh,"Rice, Wheat, Maize, Pulses, Oilseeds","Kharif & Rabi","Red lateritic soils","Medium"
Jamtara,"Rice, Wheat, Maize, Pulses, Oilseeds","Kharif & Rabi","Red lateritic soils","Medium"
Khunti,"Rice, Wheat, Maize, Pulses, Oilseeds","Kharif & Rabi","Red lateritic soils","Medium"
Koderma,"Rice, Wheat, Maize, Pulses, Oilseeds","Kharif & Rabi","Red lateritic soils","Medium"
Latehar,"Rice, Wheat, Maize, Pulses, Oilseeds","Kharif & Rabi","Red lateritic soils","Medium"
Lohardaga,"Rice, Wheat, Maize, Pulses, Oilseeds","Kharif & Rabi","Red lateritic soils","Medium"
Pakur,"Rice, Wheat, Maize, Pulses, Oilseeds","Kharif & Rabi","Alluvial soils","High"
Palamu,"Rice, Wheat, Maize, Pulses, Oilseeds","Kharif & Rabi","Red lateritic soils","Medium"
Ramgarh,"Rice, Wheat, Maize, Pulses, Oilseeds","Kharif & Rabi","Red lateritic soils","Medium"
Ranchi,"Rice, Wheat, Maize, Pulses, Oilseeds","Kharif & Rabi","Red lateritic soils","Medium"
Sahibganj,"Rice, Wheat, Maize, Pulses, Oilseeds","Kharif & Rabi","Alluvial soils","High"
Seraikela Kharsawan,"Rice, Wheat, Maize, Pulses, Oilseeds","Kharif & Rabi","Red lateritic soils","Medium"
Simdega,"Rice, Wheat, Maize, Pulses, Oilseeds","Kharif & Rabi","Red lateritic soils","Medium"
West Singhbhum,"Rice, Wheat, Maize, Pulses, Oilseeds","Kharif & Rabi","Alluvial soils","High"
Baksa,"Rice, Maize, Pulses, Oilseeds","Kharif & Rabi","Alluvial soils","High"
Bajali,"Rice, Maize, Pulses, Oilseeds","Kharif & Rabi","Alluvial soils","High"
Barpeta,"Rice, Maize, Pulses, Oilseeds","Kharif & Rabi","Alluvial soils","High"
Biswanath,"Rice, Maize, Pulses, Oilseeds","Kharif & Rabi","Alluvial soils","High"
Bongaigaon,"Rice, Maize, Pulses, Oilseeds","Kharif & Rabi","Alluvial soils","High"
Cachar,"Rice, Maize, Pulses, Oilseeds","Kharif & Rabi","Alluvial soils","High"
Charaideo,"Rice, Maize, Pulses, Oilseeds","Kharif & Rabi","Alluvial soils","High"
Chirang,"Rice, Maize, Pulses, Oilseeds","Kharif & Rabi","Alluvial soils","High"
Darrang,"Rice, Maize, Pulses, Oilseeds","Kharif & Rabi","Alluvial soils","High"
Dhemaji,"Rice, Maize, Pulses, Oilseeds","Kharif & Rabi","Alluvial soils","High"
Dhubri,"Rice, Maize, Pulses, Oilseeds","Kharif & Rabi","Alluvial soils","High"
Dibrugarh,"Rice, Maize, Pulses, Oilseeds, Tea","Kharif & Rabi","Alluvial soils","High"
Dima Hasao,"Rice, Maize, Pulses, Oilseeds","Kharif & Rabi","Lateritic soils","Medium‑Low"
Goalpara,"Rice, Maize, Pulses, Oilseeds","Kharif & Rabi","Alluvial soils","High"
Golaghat,"Rice, Maize, Pulses, Oilseeds, Tea","Kharif & Rabi","Alluvial soils","High"
Hailakandi,"Rice, Maize, Pulses, Oilseeds","Kharif & Rabi","Alluvial soils","High"
Hojai,"Rice, Maize, Pulses, Oilseeds","Kharif & Rabi","Alluvial soils","High"
Jorhat,"Rice, Maize, Pulses, Oilseeds, Tea","Kharif & Rabi","Alluvial soils","High"
Kamrup Metropolitan,"Rice, Maize, Pulses, Oilseeds","Kharif & Rabi","Alluvial soils","High"
Kamrup,"Rice, Maize, Pulses, Oilseeds","Kharif & Rabi","Alluvial soils","High"
Karbi Anglong,"Rice, Maize, Pulses, Oilseeds","Kharif & Rabi","Lateritic soils","Medium‑Low"
Karimganj,"Rice, Maize, Pulses, Oilseeds","Kharif & Rabi","Alluvial soils","High"
Kokrajhar,"Rice, Maize, Pulses, Oilseeds","Kharif & Rabi","Alluvial soils","High"
Lakhimpur,"Rice, Maize, Pulses, Oilseeds","Kharif & Rabi","Alluvial soils","High"
Majuli,"Rice, Maize, Pulses, Oilseeds","Kharif & Rabi","Alluvial soils","High"
Morigaon,"Rice, Maize, Pulses, Oilseeds","Kharif & Rabi","Alluvial soils","High"
Nagaon,"Rice, Maize, Pulses, Oilseeds","Kharif & Rabi","Alluvial soils","High"
Nalbari,"Rice, Maize, Pulses, Oilseeds","Kharif & Rabi","Alluvial soils","High"
Sivasagar,"Rice, Maize, Pulses, Oilseeds, Tea","Kharif & Rabi","Alluvial soils","High"
Sonitpur,"Rice, Maize, Pulses, Oilseeds","Kharif & Rabi","Alluvial soils","High"
South Salmara-Mankachar,"Rice, Maize, Pulses, Oilseeds","Kharif & Rabi","Alluvial soils","High"
Tamulpur,"Rice, Maize, Pulses, Oilseeds","Kharif & Rabi","Alluvial soils","High"
Tinsukia,"Rice, Maize, Pulses, Oilseeds, Tea","Kharif & Rabi","Alluvial soils","High"
Udalguri,"Rice, Maize, Pulses, Oilseeds","Kharif & Rabi","Alluvial soils","High"
West Karbi Anglong,"Rice, Maize, Pulses, Oilseeds","Kharif & Rabi","Lateritic soils","Medium‑Low"
Amritsar,"Rice, Wheat, Maize, Barley, Cotton, Sugarcane","Kharif & Rabi","Alluvial soils (sandy loam to clayey)","High"
Barnala,"Rice, Wheat, Maize, Barley, Cotton, Sugarcane","Kharif & Rabi","Alluvial soils (sandy loam to clayey)","High"
Bathinda,"Rice, Wheat, Maize, Barley, Cotton, Sugarcane","Kharif & Rabi","Alluvial soils (sandy loam to clayey)","High"
Faridkot,"Rice, Wheat, Maize, Barley, Cotton, Sugarcane","Kharif & Rabi","Alluvial soils (sandy loam to clayey)","High"
Fatehgarh Sahib,"Rice, Wheat, Maize, Barley, Cotton, Sugarcane","Kharif & Rabi","Alluvial soils (sandy loam to clayey)","High"
Firozpur,"Rice, Wheat, Maize, Barley, Cotton, Sugarcane","Kharif & Rabi","Alluvial soils (sandy loam to clayey)","High"
Fazilka,"Rice, Wheat, Maize, Barley, Cotton, Sugarcane","Kharif & Rabi","Alluvial soils (sandy loam to clayey)","High"
Gurdaspur,"Rice, Wheat, Maize, Barley, Cotton, Sugarcane","Kharif & Rabi","Alluvial soils (sandy loam to clayey)","High"
Hoshiarpur,"Rice, Wheat, Maize, Barley, Cotton, Sugarcane","Kharif & Rabi","Alluvial soils (sandy loam to clayey)","High"
Jalandhar,"Rice, Wheat, Maize, Barley, Cotton, Sugarcane","Kharif & Rabi","Alluvial soils (sandy loam to clayey)","High"
Kapurthala,"Rice, Wheat, Maize, Barley, Cotton, Sugarcane","Kharif & Rabi","Alluvial soils (sandy loam to clayey)","High"
Ludhiana,"Rice, Wheat, Maize, Barley, Cotton, Sugarcane","Kharif & Rabi","Alluvial soils (sandy loam to clayey)","High"
Malerkotla,"Rice, Wheat, Maize, Barley, Cotton, Sugarcane","Kharif & Rabi","Alluvial soils (sandy loam to clayey)","High"
Mansa,"Rice, Wheat, Maize, Barley, Cotton, Sugarcane","Kharif & Rabi","Alluvial soils (sandy loam to clayey)","High"
Moga,"Rice, Wheat, Maize, Barley, Cotton, Sugarcane","Kharif & Rabi","Alluvial soils (sandy loam to clayey)","High"
Sri Muktsar Sahib,"Rice, Wheat, Maize, Barley, Cotton, Sugarcane","Kharif & Rabi","Alluvial soils (sandy loam to clayey)","High"
Pathankot,"Rice, Wheat, Maize, Barley, Cotton, Sugarcane","Kharif & Rabi","Alluvial soils (sandy loam to clayey)","High"
Patiala,"Rice, Wheat, Maize, Barley, Cotton, Sugarcane","Kharif & Rabi","Alluvial soils (sandy loam to clayey)","High"
Rupnagar,"Rice, Wheat, Maize, Barley, Cotton, Sugarcane","Kharif & Rabi","Alluvial soils (sandy loam to clayey)","High"
Sahibzada Ajit Singh Nagar (Mohali),"Rice, Wheat, Maize, Barley, Cotton, Sugarcane","Kharif & Rabi","Alluvial soils (sandy loam to clayey)","High"
Sangrur,"Rice, Wheat, Maize, Barley, Cotton, Sugarcane","Kharif & Rabi","Alluvial soils (sandy loam to clayey)","High"
Shaheed Bhagat Singh Nagar (Nawanshahr),"Rice, Wheat, Maize, Barley, Cotton, Sugarcane","Kharif & Rabi","Alluvial soils (sandy loam to clayey)","High"
Tarn Taran,"Rice, Wheat, Maize, Barley, Cotton, Sugarcane","Kharif & Rabi","Alluvial soils (sandy loam to clayey)","High"
Raipur,"Rice, Maize, Pulses, Oilseeds, Wheat","Kharif & Rabi","Alluvial and red lateritic soils","High"
Durg,"Rice, Maize, Pulses, Oilseeds, Wheat","Kharif & Rabi","Red and black soils","High"
Bilaspur,"Rice, Maize, Pulses, Oilseeds, Wheat","Kharif & Rabi","Alluvial and red soils","High"
Korba,"Rice, Maize, Pulses, Oilseeds","Kharif & Rabi","Lateritic soils","Medium"
Raigarh,"Rice, Maize, Pulses, Oilseeds","Kharif & Rabi","Lateritic and alluvial soils","Medium"
Janjgir-Champa,"Rice, Maize, Wheat","Kharif & Rabi","Alluvial soils","High"
Baloda Bazar,"Rice, Pulses, Maize","Kharif & Rabi","Red and black soils","Medium"
Bemetara,"Rice, Maize, Wheat, Pulses","Kharif & Rabi","Black and lateritic soils","Medium"
Dhamtari,"Rice, Wheat, Pulses","Kharif & Rabi","Alluvial and red soils","High"
Mahasamund,"Rice, Maize, Pulses, Wheat","Kharif & Rabi","Black and red soils","High"
Gariaband,"Rice, Pulses, Oilseeds","Kharif & Rabi","Lateritic and red soils","Medium"
Kanker,"Rice, Pulses, Maize","Kharif & Rabi","Lateritic and red soils","Medium"
Kondagaon,"Rice, Pulses, Maize","Kharif & Rabi","Lateritic soils","Medium"
Narayanpur,"Rice, Maize, Pulses","Kharif & Rabi","Forest and red soils","Low"
Bastar,"Rice, Pulses, Oilseeds","Kharif & Rabi","Lateritic and forest soils","Low"
Bijapur,"Rice, Pulses","Kharif","Forest and red soils","Low"
Dantewada,"Rice, Pulses","Kharif","Lateritic soils","Low"
Sukma,"Rice, Pulses","Kharif","Forest and red soils","Low"
Balrampur,"Rice, Maize, Pulses","Kharif & Rabi","Red and lateritic soils","Medium"
Surguja,"Rice, Wheat, Maize, Pulses","Kharif & Rabi","Red and black soils","Medium"
Koriya,"Rice, Maize, Pulses","Kharif & Rabi","Red and lateritic soils","Medium"
Surajpur,"Rice, Maize, Pulses","Kharif & Rabi","Red and lateritic soils","Medium"
Jashpur,"Rice, Maize, Pulses","Kharif & Rabi","Lateritic and red soils","Medium"
Ambala,"Wheat, Rice, Sugarcane, Pulses, Maize","Kharif & Rabi","Alluvial loamy soils","High"
Bhiwani,"Wheat, Bajra, Cotton, Barley, Pulses","Kharif & Rabi","Sandy to loamy soils","Medium"
Charkhi Dadri,"Wheat, Bajra, Cotton, Barley","Kharif & Rabi","Sandy to loamy soils","Medium"
Faridabad,"Wheat, Rice, Vegetables, Sugarcane","Kharif & Rabi","Loamy soils","High"
Fatehabad,"Wheat, Cotton, Rice, Pulses","Kharif & Rabi","Sandy loam soils","High"
Gurugram,"Wheat, Rice, Bajra, Vegetables","Kharif & Rabi","Sandy loam to clay loam","High"
Hisar,"Wheat, Cotton, Bajra, Pulses, Barley","Kharif & Rabi","Sandy to loamy soils","High"
Jhajjar,"Wheat, Rice, Bajra, Pulses","Kharif & Rabi","Alluvial loamy soils","High"
Jind,"Wheat, Rice, Pulses, Cotton","Kharif & Rabi","Alluvial loamy soils","High"
Kaithal,"Wheat, Rice, Sugarcane, Pulses","Kharif & Rabi","Loamy to clayey soils","High"
Karnal,"Wheat, Rice, Sugarcane, Pulses","Kharif & Rabi","Alluvial soils","High"
Kurukshetra,"Wheat, Rice, Sugarcane","Kharif & Rabi","Loamy to clayey alluvial soils","High"
Mahendragarh,"Bajra, Wheat, Pulses, Mustard","Kharif & Rabi","Sandy loam soils","Medium"
Nuh,"Bajra, Wheat, Mustard, Pulses","Kharif & Rabi","Sandy loam soils","Medium"
Palwal,"Wheat, Rice, Pulses","Kharif & Rabi","Alluvial soils","High"
Panchkula,"Wheat, Rice, Vegetables","Kharif & Rabi","Loamy soils with forest content","High"
Panipat,"Wheat, Rice, Sugarcane, Pulses","Kharif & Rabi","Alluvial loamy soils","High"
Rewari,"Bajra, Wheat, Mustard, Barley","Kharif & Rabi","Sandy loam soils","Medium"
Rohtak,"Wheat, Rice, Sugarcane, Pulses","Kharif & Rabi","Loamy to clayey soils","High"
Sirsa,"Wheat, Cotton, Bajra, Pulses","Kharif & Rabi","Sandy to loamy soils","High"
Sonipat,"Wheat, Rice, Sugarcane, Vegetables","Kharif & Rabi","Alluvial loamy soils","High"
Yamunanagar,"Wheat, Rice, Sugarcane, Pulses","Kharif & Rabi","Alluvial soils","High"
Almora,"Rice, Wheat, Mandua (Finger Millet), Pulses","Kharif & Rabi","Loamy and forest soils","Medium"
Bageshwar,"Rice, Wheat, Mandua, Barley, Pulses","Kharif & Rabi","Loamy and hilly soils","Medium"
Chamoli,"Rice, Wheat, Mandua, Pulses, Potato","Kharif & Rabi","Mountain loam and forest soils","Low"
Champawat,"Rice, Wheat, Mandua, Pulses","Kharif & Rabi","Forest loamy soils","Low"
Dehradun,"Wheat, Rice, Sugarcane, Vegetables","Kharif & Rabi","Alluvial and loamy soils","High"
Haridwar,"Wheat, Rice, Sugarcane, Maize","Kharif & Rabi","Alluvial soils","High"
Nainital,"Wheat, Rice, Mandua, Vegetables","Kharif & Rabi","Loamy and forest soils","Medium"
Pauri Garhwal,"Rice, Wheat, Mandua, Pulses","Kharif & Rabi","Loamy forest soils","Low"
Pithoragarh,"Rice, Wheat, Mandua, Pulses","Kharif & Rabi","Mountain and loamy soils","Low"
Rudraprayag,"Rice, Wheat, Mandua, Pulses","Kharif & Rabi","Hilly forest soils","Low"
Tehri Garhwal,"Rice, Wheat, Pulses, Mandua","Kharif & Rabi","Loamy forest soils","Low"
Udham Singh Nagar,"Wheat, Rice, Sugarcane, Maize","Kharif & Rabi","Alluvial soils","High"
Uttarkashi,"Mandua, Wheat, Barley, Pulses","Kharif & Rabi","Mountainous soils","Low"
Bilaspur,"Maize, Wheat, Barley, Pulses, Vegetables","Kharif & Rabi","Loamy and clay loam soils","Medium"
Chamba,"Maize, Wheat, Barley, Rajmash, Apple","Kharif & Rabi","Mountain and forest soils","Low"
Hamirpur,"Maize, Wheat, Pulses, Oilseeds","Kharif & Rabi","Loamy soils","Medium"
Kangra,"Rice, Wheat, Maize, Barley, Tea","Kharif & Rabi","Alluvial and loamy soils","High"
Kinnaur,"Wheat, Barley, Peas, Apple","Rabi (short season)","Mountain and sandy loam soils","Low"
Kullu,"Wheat, Barley, Maize, Apple, Peas","Kharif & Rabi","Mountain and loamy soils","Low"
Lahaul and Spiti,"Barley, Peas, Potato, Buckwheat","Summer (single crop season)","Cold desert soils","Low"
Mandi,"Wheat, Maize, Barley, Pulses","Kharif & Rabi","Loamy and clay loam soils","Medium"
Shimla,"Wheat, Maize, Barley, Apple","Kharif & Rabi","Loamy and mountain soils","Medium"
Sirmaur,"Maize, Wheat, Ginger, Pulses","Kharif & Rabi","Loamy soils","Medium"
Solan,"Maize, Wheat, Vegetables, Pulses","Kharif & Rabi","Loamy and clay soils","Medium"
Una,"Maize, Wheat, Barley, Pulses","Kharif & Rabi","Sandy loam to loamy soils","Medium"
West Tripura,"Rice, Pulses, Maize, Vegetables, Pineapple","Kharif & Rabi","Lateritic and alluvial soils","Medium"
South Tripura,"Rice, Pulses, Maize, Ginger, Turmeric","Kharif & Rabi","Lateritic and loamy soils","Medium"
North Tripura,"Rice, Maize, Pulses, Pineapple, Orange","Kharif & Rabi","Sandy loam and red soils","Medium"
Dhalai,"Rice, Pulses, Maize, Ginger, Bamboo","Kharif & Rabi","Lateritic soils","Low"
Khowai,"Rice, Maize, Pulses, Pineapple","Kharif & Rabi","Loamy and red soils","Medium"
Gomati,"Rice, Pulses, Vegetables, Ginger","Kharif & Rabi","Loamy soils","Medium"
Unakoti,"Rice, Maize, Vegetables, Pulses","Kharif & Rabi","Loamy and lateritic soils","Medium"
Sipahijala,"Rice, Maize, Pulses, Pineapple, Banana","Kharif & Rabi","Loamy soils","Medium"
